n1, n2, n3, alg, wt_c1, tat_c1, wt_c2, tat_c2, wt_c3, tat_c3,
100000, 1000000, 100, RR, 0.032, 125.681, 480.168, 3647.108, 227.585, 333.189, 
100000, 1000000, 1000, RR, 0.020, 130.583, 445.810, 3191.284, 235.871, 363.342, 
100000, 1000000, 10000, RR, 0.013, 105.901, 454.429, 3280.909, 215.884, 318.610, 
100000, 1000000, 100000, RR, 0.051, 132.071, 507.795, 3269.170, 241.343, 341.571, 
100000, 1000000, 1000000, RR, 0.013, 198.399, 632.545, 3449.996, 410.285, 611.636, 
1000000, 10, 10, RR, 0.030, 140.692, 140.698, 240.898, 240.905, 341.052, 
1000000, 10, 100, RR, 0.014, 107.492, 107.498, 208.123, 208.129, 316.385, 
1000000, 10, 1000, RR, 0.015, 116.790, 116.796, 218.830, 218.837, 320.061, 
1000000, 10, 10000, RR, 0.013, 117.695, 117.700, 217.998, 218.004, 318.567, 
1000000, 10, 100000, RR, 0.020, 130.365, 130.371, 240.001, 240.007, 342.010, 
1000000, 10, 1000000, RR, 0.025, 129.395, 129.400, 255.961, 256.033, 471.297, 
1000000, 100, 10, RR, 0.015, 120.352, 120.357, 221.345, 221.351, 322.169, 
1000000, 100, 100, RR, 0.014, 114.108, 114.119, 215.639, 215.646, 332.612, 
1000000, 100, 1000, RR, 0.016, 121.507, 121.513, 226.407, 226.413, 355.832, 
1000000, 100, 10000, RR, 0.015, 118.074, 118.085, 219.032, 219.039, 319.723, 
1000000, 100, 100000, RR, 0.015, 111.959, 111.977, 213.815, 213.822, 314.860, 
1000000, 100, 1000000, RR, 0.016, 148.048, 148.053, 248.693, 249.686, 471.671, 
1000000, 1000, 10, RR, 0.043, 127.264, 127.277, 236.877, 236.889, 340.900, 
1000000, 1000, 100, RR, 0.013, 133.389, 133.395, 320.821, 320.827, 423.219, 
1000000, 1000, 1000, RR, 0.018, 151.869, 151.874, 272.208, 272.215, 372.931, 
1000000, 1000, 10000, RR, 0.013, 111.385, 111.396, 212.029, 212.034, 312.434, 
1000000, 1000, 100000, RR, 0.022, 112.958, 112.970, 260.148, 260.155, 362.789, 
1000000, 1000, 1000000, RR, 0.016, 116.063, 116.069, 226.240, 229.642, 441.178, 
1000000, 10000, 10, RR, 0.106, 112.122, 112.132, 212.887, 212.893, 313.625, 
1000000, 10000, 100, RR, 0.013, 124.566, 124.571, 224.840, 224.846, 326.108, 
1000000, 10000, 1000, RR, 0.014, 123.346, 123.355, 240.487, 240.493, 359.841, 
1000000, 10000, 10000, RR, 0.015, 117.473, 117.479, 218.219, 218.224, 321.578, 
1000000, 10000, 100000, RR, 0.016, 114.673, 114.683, 215.385, 215.391, 324.030, 
1000000, 10000, 1000000, RR, 0.027, 117.689, 117.764, 219.208, 225.055, 436.614, 
1000000, 100000, 10, RR, 0.027, 121.134, 230.712, 533.810, 230.454, 331.574, 
1000000, 100000, 100, RR, 0.015, 105.314, 261.019, 561.643, 205.456, 360.869, 
1000000, 100000, 1000, RR, 0.016, 118.019, 238.528, 547.299, 227.562, 329.482, 
1000000, 100000, 10000, RR, 0.017, 114.033, 240.848, 551.972, 221.385, 334.943, 
1000000, 100000, 100000, RR, 0.015, 134.351, 276.239, 579.306, 246.653, 350.404, 
1000000, 100000, 1000000, RR, 0.020, 117.199, 326.372, 628.083, 326.063, 526.757, 
1000000, 1000000, 10, RR, 0.014, 123.945, 411.575, 3272.024, 224.630, 326.659, 
1000000, 1000000, 100, RR, 0.015, 105.090, 365.976, 3093.013, 212.971, 313.271, 
1000000, 1000000, 1000, RR, 0.035, 148.912, 449.644, 3282.407, 254.249, 354.490, 
1000000, 1000000, 10000, RR, 0.016, 179.168, 492.127, 3223.600, 279.838, 381.614, 
1000000, 1000000, 100000, RR, 0.023, 149.709, 389.204, 3131.915, 254.890, 355.397, 
1000000, 1000000, 1000000, RR, 0.020, 133.095, 576.791, 3415.290, 359.722, 561.609, 
