n1, n2, n3, alg, wt_c1, tat_c1, wt_c2, tat_c2, wt_c3, tat_c3,
100, 1000000, 100, FCFS, 0.024, 27.368, 27.371, 10859.001, 10859.023, 10859.533, 
100, 1000000, 1000, RR, 0.018, 10.437, 1329.253, 3258.685, 15.656, 24.361, 
100, 1000000, 1000, FCFS, 0.020, 32.336, 32.371, 11067.674, 11067.681, 11068.388, 
100, 1000000, 10000, RR, 0.019, 30.677, 1159.994, 3409.033, 38.910, 46.926, 
100, 1000000, 10000, FCFS, 0.031, 36.962, 36.985, 11701.211, 11701.234, 11705.034, 
100, 1000000, 100000, RR, 0.064, 21.677, 1249.619, 3257.855, 61.123, 79.086, 
100, 1000000, 100000, FCFS, 0.027, 36.422, 36.426, 10524.602, 10524.610, 10550.714, 
100, 1000000, 1000000, RR, 0.063, 49.745, 1671.813, 3684.846, 311.419, 448.192, 
100, 1000000, 1000000, FCFS, 0.035, 34.086, 34.095, 11315.588, 11315.593, 11459.654, 
1000, 10, 10, RR, 0.015, 14.824, 14.826, 33.942, 33.946, 45.395, 
1000, 10, 10, FCFS, 0.038, 34.844, 34.849, 35.332, 35.334, 35.635, 
1000, 10, 100, RR, 0.031, 13.246, 13.249, 41.884, 41.889, 48.589, 
1000, 10, 100, FCFS, 0.020, 11.085, 11.088, 33.925, 33.928, 34.158, 
1000, 10, 1000, RR, 0.016, 19.445, 19.450, 25.449, 25.453, 33.173, 
1000, 10, 1000, FCFS, 0.066, 18.930, 18.955, 30.800, 30.803, 31.113, 
1000, 10, 10000, RR, 0.015, 32.014, 32.018, 39.508, 39.531, 54.162, 
1000, 10, 10000, FCFS, 0.074, 32.024, 32.048, 34.721, 34.724, 36.273, 
1000, 10, 100000, RR, 0.018, 26.460, 26.483, 33.109, 38.795, 55.042, 
1000, 10, 100000, FCFS, 0.051, 28.556, 28.561, 29.464, 29.467, 42.454, 
1000, 10, 1000000, RR, 0.057, 37.018, 37.024, 42.953, 65.429, 201.318, 
1000, 10, 1000000, FCFS, 0.024, 32.287, 32.290, 37.329, 37.335, 186.164, 
1000, 100, 10, RR, 0.016, 51.008, 51.039, 58.454, 58.477, 66.648, 
1000, 100, 10, FCFS, 0.031, 30.703, 30.706, 33.665, 33.687, 34.011, 
1000, 100, 100, RR, 0.040, 39.445, 39.450, 49.805, 49.873, 64.901, 
1000, 100, 100, FCFS, 0.080, 26.818, 26.824, 37.042, 37.048, 37.417, 
1000, 100, 1000, RR, 0.018, 26.849, 26.853, 41.072, 41.097, 49.923, 
1000, 100, 1000, FCFS, 0.061, 29.898, 29.919, 30.762, 30.781, 35.127, 
1000, 100, 10000, RR, 0.023, 35.101, 35.110, 45.651, 45.656, 51.217, 
1000, 100, 10000, FCFS, 0.023, 24.475, 24.479, 34.582, 34.590, 35.936, 
1000, 100, 100000, RR, 0.025, 27.153, 27.163, 32.838, 34.804, 53.535, 
1000, 100, 100000, FCFS, 0.044, 13.281, 13.286, 16.322, 16.330, 53.118, 
